name,lat,long,dockcount,online
3rd Ave & Broad St,47.618418,-122.350964,18,10/13/14
2nd Ave & Vine St,47.615829,-122.348564,16,10/13/14
6th Ave & Blanchard St,47.616094,-122.341102,16,10/13/14
2nd Ave & Blanchard St,47.61311,-122.344208,14,10/13/14
2nd Ave & Pine St,47.610185,-122.339641,18,10/13/14
7th Ave & Union St,47.610731,-122.332447,20,10/13/14
City Hall / 4th Ave & James St,47.603509,-122.330409,18,10/13/14
Pine St & 9th Ave,47.613715,-122.331777,20,10/13/14
2nd Ave & Spring St,47.60595,-122.335768,20,10/13/14
Summit Ave & E Denny Way,47.618633,-122.325249,16,10/13/14
E Harrison St & Broadway Ave E,47.622063,-122.321251,20,10/13/14
Summit Ave E & E Republican St,47.623367,-122.325279,16,10/13/14
15th Ave E & E Thomas St,47.620712,-122.312805,16,10/13/14
12th Ave & E Denny Way,47.618549,-122.317017,15,10/13/14
E Pine St & 16th Ave,47.61533,-122.311752,18,10/13/14
Cal Anderson Park / 11th Ave & Pine St,47.615486,-122.318245,26,10/13/14
Harvard Ave & E Pine St,47.615517,-122.322083,16,10/13/14
Bellevue Ave & E Pine St,47.615456,-122.326729,18,10/13/14
12th Ave & E Mercer St,47.624142,-122.316811,16,10/13/14
9th Ave N & Mercer St,47.624298,-122.339617,18,10/13/14
Children's Hospital / Sandpoint Way NE & 40th Ave NE,47.663509,-122.284119,24,10/13/14
Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,47.627643,-122.332576,16,10/13/14
E Blaine St & Fairview Ave E,47.634831,-122.326634,18,10/13/14
Eastlake Ave E & E Allison St,47.64909,-122.322983,17,10/13/14
Frye Art Museum / Terry Ave & Columbia St,47.607281,-122.324783,15,10/13/14
Seattle University / E Columbia St & 12th Ave,47.609239,-122.316651,20,10/13/14
6th Ave S & S King St,47.598488,-122.326412,16,10/13/14
King Street Station Plaza / 2nd Ave Extension S & S Jackson St,47.598994,-122.329684,18,10/13/14
Occidental Park / Occidental Ave S & S Washington St,47.600757,-122.332946,18,10/13/14
REI / Yale Ave N & John St,47.619859,-122.330304,20,10/13/14
Dexter Ave N & Aloha St,47.627735,-122.342232,18,10/13/14
Republican St & Westlake Ave N,47.623165,-122.338203,18,10/13/14
PATH / 9th Ave & Westlake Ave,47.61832,-122.338913,18,10/13/14
Westlake Ave & 6th Ave,47.613628,-122.337341,20,10/13/14
Lake Union Park / Valley St & Boren Ave N,47.626041,-122.335831,16,10/13/14
Dexter Ave & Denny Way,47.618285,-122.342205,20,10/13/14
Key Arena / 1st Ave N & Harrison St,47.622277,-122.35523,16,10/13/14
Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,47.666145,-122.301491,18,10/13/14
NE 42nd St & University Way NE,47.658288,-122.313334,18,10/13/14
12th Ave & NE Campus Pkwy,47.656395,-122.31562,16,10/13/14
NE 47th St & 12th Ave NE,47.663143,-122.315086,16,10/13/14
UW McCarty Hall / Whitman Ct,47.660268,-122.304826,16,10/13/14
Burke Museum / E Stevens Way NE & Memorial Way NE,47.659756,-122.310402,14,10/13/14
15th Ave NE & NE 40th St,47.65559,-122.31189,16,10/13/14
UW Engineering Library / E Stevens Way NE & Jefferson Rd,47.654613,-122.304863,14,10/13/14
UW Intramural Activities Building,47.653713,-122.302162,14,10/13/14
UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,47.650725,-122.311188,14,10/13/14
Pier 69 / Alaskan Way & Clay St,47.614315,-122.354093,24,10/13/14
Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,47.607702,-122.34165,18,10/13/14
1st Ave & Marion St,47.604058,-122.3358,20,10/13/14
